state,city,postcode,lat,lon,weight
Selangor,Ampang,68000,3.16648,101.748344,6265
Selangor,Bandar Baru Bangi,43600,2.961915,101.75705,2206
Selangor,Bandar Puncak Alam,42300,3.228418,101.428238,1226
Selangor,Banting,42700,2.813590938,101.4954571,3519
Selangor,Batang Kali,44300,3.43976,101.687592,738
Selangor,Batu Arang,48100,3.3052,101.472954,267
Selangor,Batu Caves,68100,3.237884,101.684036,7807
Selangor,Beranang,43700,2.90433,101.852943,650
Selangor,Bestari Jaya,45600,3.377953,101.406235,858
Selangor,Bukit Rotan,45700,3.298551,101.313279,149
Selangor,Cheras,43200,3.05483,101.786377,5814
Selangor,Cyberjaya,63000,2.921318,101.655937,1167
Selangor,Dengkil,43800,2.90508,101.706558,1087
Selangor,Hulu Langat,43100,2.993643,101.7892,788
Selangor,Jenjarom,42600,2.87374,101.48674,1929
Selangor,Jeram,45800,3.22135,101.320648,485
Selangor,Kajang,43000,2.993518,101.787407,10449
Selangor,Kapar,42200,3.137271,101.374413,2566
Selangor,Kerling,44100,3.58937,101.598892,309
Selangor,Klang,41000,3.09296,101.570534,20271
Selangor,KLIA,64000,2.75462,101.700073,41
Selangor,Kuala Kubu Baru,44000,3.55982,101.658478,489
Selangor,Kuala Selangor,45000,3.340184,101.249763,795
Selangor,Kuang,48050,3.2582621,101.5546786,536
Selangor,Pelabuhan Klang,42000,2.9996963,101.3913589,3463
Selangor,Petaling Jaya,46000,3.0988792,101.6454202,19470
Selangor,Puchong,47100,3.0342324,101.6170345,13918
Selangor,Pulau Carey,42960,2.8907541,101.3586264,53
Selangor,Pulau Indah,42920,2.9381101,101.311816,318
Selangor,Pulau Ketam,42940,3.0323098,101.2488701,62
Selangor,Rasa,44200,3.5002978,101.6341258,231
Selangor,Rawang,48000,3.3189044,101.5750187,7476
Selangor,Sabak Bernam,45200,3.6871153,101.0580588,386
Selangor,Sekinchan,45400,3.5087062,101.1031471,667
Selangor,Semenyih,43500,2.9473911,101.8459911,4442
Selangor,Sepang,43900,2.691369,101.750526,1706
Selangor,Serdang,43400,2.986198,101.721646,53
Selangor,Serendah,48200,3.364995,101.60224,636
Selangor,Seri Kembangan,43300,3.034054,101.705341,8315
Selangor,Shah Alam,40000,3.0739429,101.5185278,22263
Selangor,Subang Jaya,47200,3.051487,101.5823339,8029
Selangor,Sungai Ayer Tawar,45100,3.843206718,100.8939204,112
Selangor,Sungai Besar,45300,3.67778721,100.9665295,717
Selangor,Sungai Buloh,47000,3.209263817,101.5484812,4406
Selangor,Sungai Pelek,43950,2.640562617,101.7110886,601
Selangor,Tanjong Karang,45500,3.424438229,101.1779694,767
Selangor,Tanjong Sepat,42800,2.665687163,101.5548958,529
Selangor,Telok Panglima Garang,42425,2.90777528,101.4666598,2257
