Outlet Code,Outlet Name,City,State,Lat,Lon
,Hiewa Auto Gallery (Larkin) Sdn Bhd,Johor Bahru,Johor,1.50601342,103.74285773
376,Hong Huat Automobile Sdn Bhd,Kluang,Johor,2.0097609,103.27869518
321,Hiewa Auto Gallery (Kulai) Sdn Bhd,Kulaijaya,Johor,1.63717112,103.62761978
,E.S. Yang Motor Sdn Bhd,Muar,Johor,2.03740532,102.60331441
,Super Evergreen (Nusajaya) Sdn Bhd,Skudai,Johor,1.49820967,103.63735448
,Hiewa Auto Gallery Sdn Bhd (Ulu Tiram),Ulu Tiram,Johor,1.55414701,103.79277642
398,Kulim Topwheels (Alor Setar) Sdn Bhd,Alor Setar,Kedah,6.12584289,100.33305061
,Telagamas Motors Sdn Bhd (Kulim),Kulim,Kedah,5.38264112,100.55421716
,Kulim Topwheels (Langkawi) Sdn Bhd,Langkawi,Kedah,6.3275671,99.84429064
316,SP Selatan Otomobil Sdn Bhd,Sungai Petani,Kedah,5.59578938,100.47241924
345,Crestmax Auto (KB) Sdn Bhd,Kota Bahru,Kelantan,6.10655239,102.2413709
358,Fokus Sentral Sdn Bhd,Kuala Lumpur,Kuala Lumpur,3.10383408,101.73495147
,Hiewa Auto Gallery (Melaka) Sdn Bhd,Cheng,Melaka,2.27553691,102.2214114
,Laser Motor 4S Sdn Bhd (Seremban - Lombong Emas),Seremban,Negeri Sembilan,2.75069117,101.91535476
,Laser Motor 4S Sdn Bhd (Seremban - Oakland),Seremban,Negeri Sembilan,2.7006101,101.92509648
,HLT Motors Sdn Bhd (Bentong),Bentong,Pahang,3.47562931,102.12590215
387,Fokus Timur Sdn Bhd,Kuantan,Pahang,3.85716191,103.326742
300,HLT Motors Sdn Bhd (Temerloh),Temerloh,Pahang,3.47296126,102.3791198
,Prima Pearl Auto Sdn. Bhd (Bayan Lepas),Bayan Lepas,Penang,5.28827512,100.28822692
302,S&D Tama Malaysia Sdn Bhd (Prai),Butterworth,Penang,5.36724674,100.39288312
308,S&D Tama Malaysia Sdn Bhd (Penang),George Town,Penang,5.38629394,100.31221617
343,PCM Ipoh Motor Sdn Bhd,Ipoh,Perak,4.62798555,101.08230584
385,Fokus Auto (Sitiawan) Sdn Bhd,Seri Manjung,Perak,4.2015626,100.6688938
344,G-Mart Taiping Motor Sdn Bhd,Taiping,Perak,4.82860077,100.7202881
369,Borneo Mobility (Sabah) Sdn Bhd,Kota Kinabalu,Sabah,5.9926803,116.1233048
333,Boulevard Motor (Labuan) Sdn Bhd,Labuan,Sabah,5.29489473,115.24588563
,Boulevard Motor (Sabah) Sdn Bhd (Lahad Datu),Lahad Datu,Sabah,5.03736164,118.33802768
379,Boulevard Motor Sdn Bhd (Bintulu),Bintulu,Sarawak,3.18442208,113.0519101
359,Borneo Mobility (Sarawak) Sdn Bhd,Kuching,Sarawak,1.55245852,110.3909303
,Boulevard Jaya Sdn Bhd,Kuching,Sarawak,1.56034069,110.3868569
378,Boulevard Motor Sdn Bhd (Miri),Miri,Sarawak,4.42075454,113.9980087
,Boulevard Motor Sdn Bhd (Sibu),Sibu,Sarawak,2.27321579,111.8431496
,PCM Klang Motor Sdn Bhd (Sungai Kapar),Klang,Selangor,3.096694,101.38866
307,PCM Klang Motor Sdn Bhd (Sungai Rasah),Klang,Selangor,3.05799777,101.48806919
,Panglima City Motor Sdn Bhd,Kuala Langat,Selangor,2.94048343,101.47874813
306,Target Orion Corporation Sdn Bhd,Kuala Selangor,Selangor,3.30715838,101.2840575
,Laser Motor 4S Sdn Bhd (Jalan 217),Petaling Jaya,Selangor,3.09514082,101.63647521
357,Laser Motor PJ Sdn Bhd,Petaling Jaya,Selangor,3.11282909,101.63513884
,Unihub Auto Sdn Bhd,Puchong,Selangor,2.97176157,101.6108684
395,UMW Toyotsu Motors Sdn Bhd (Rawang),Rawang,Selangor,3.30523079,101.5467462
,Wing Hin Automobile Sdn Bhd,Seri Kembangan,Selangor,3.0383419,101.7419359
382,UMW Toyotsu Motors Sdn Bhd (Shah Alam),Shah Alam,Selangor,3.0637644,101.5241925
,PCM Puchong Motor Sdn Bhd,Subang Jaya,Selangor,3.02469893,101.59224328
,Distinctive Model Sdn Bhd,Sungai Buloh,Selangor,3.1882829,101.57837886
310,HLT Motors Sdn Bhd (Kemaman),Kemaman,Terengganu,4.2068168,103.4314677
,Crestmax Auto (KT) Sdn Bhd,Kuala Terengganu,Terengganu,5.31895094,103.1305833
