outlet code,outlet name,City ,State,address,postcode,lat,lon,phone,email
,Toyota 3S Panglima City Motor,Telok Panglima Garang,Selangor,,,2.94184,101.47269,,
,Toyota Sungai Rasah 4S | PCM Group - Sales,Klang,Selangor,,,3.05792,101.48745,,
,Toyota Puchong 4S | PCM Group - Sales,Puchong,Selangor,,,3.03949,101.60295,,
,PCM Semenyih Motor Sdn Bhd,Semenyih,Selangor,,,2.92772,101.85784,,
,Toyota Pandamaran 3S | PCM Group - Sales & Service,Pelabuhan Klang,Selangor,,,3.01674,101.42042,,
,Toyota Subang Jaya 4S | PCM Group - Sales,Subang Jaya,Selangor,,,3.08085,101.58119,,
,Toyota Banting 3S | PCM Group - Sales and Service,Banting,Selangor,,,2.81126,101.50479,,
,Toyota Kelana Jaya | Unitedstar Corporation (PCM Group),Petaling Jaya,Selangor,,,3.10969,101.59538,,
,UMW Toyotsu Motors Sdn Bhd - Toyota,Shah Alam,Selangor,,,3.06357,101.52354,,
,UMW Toyota Rawang,Rawang,Selangor,,,3.30515,101.54594,,
,Toyota 3S - Quayside Mall,Telok Panglima Garang,Selangor,,,2.95669,101.55312,,
,Distinctive Model - Toyota Service Centre Sungai Buloh,Sungai Buloh,Selangor,,,3.18804,101.57821,,
,Toyota Cyberjaya OSSB,Cyberjaya,Selangor,,,2.91984,101.63345,,
,TOYOTA BANGI SHOWROOM SEKSYEN 7 - Magna Viable Sdn Bhd,Bandar Baru Bangi,Selangor,,,2.97031,101.77328,,
,PCM Klang Motor Sdn. Bhd. - Toyota Body & Paint Kapar,Klang,Selangor,,,3.09655,101.38872,,
,Toyota Subang G-Mart Motor 4S Center.,Shah Alam,Selangor,,,3.16018,101.53178,,
,Toyota Kuala Selangor - Target Orion Corporation Sdn Bhd,Kuala Selangor,Selangor,,,3.30687,101.28337,,
,Toyota Cheras 4S Centre - Fokus Sentral Sdn Bhd,Cheras,Kuala Lumpur,,,3.10359,101.73425,,
,Toyota Setia Alam - Fokus Tetap Sdn. Bhd.,Shah Alam,Selangor,,,3.10919,101.44947,,
,TOYOTA SERVICE CENTER CHERAS BATU 10 PDC AUTOMOBILE SDN BHD,Cheras,Kuala Lumpur,,,3.05295,101.77348,,
,Toyota Balakong - Wing Hin Automobile 4S Centre (Service Centre),Seri Kembangan,Selangor,,,3.02808,101.75127,,
,Toyota Pandan Indah - Wing Hin Motor Sdn Bhd (Service Centre),Ampang,Selangor,,,3.13476,101.75892,,
,Toyota Wangsa Maju - Motozoom Sdn Bhd (Service Centre),Kuala Lumpur,Kuala Lumpur,,,3.1979,101.72704,,
,Toyota Section 19 - Laser Motor PJ,Petaling Jaya,Selangor,,,3.11192,101.63222,,
,Toyota Jalan 217 Petaling Jaya - Laser Motor 4S,Petaling Jaya,Selangor,,,3.09476,101.63522,,
,"Toyota Petaling Utama (Sales,Service & Topmark) - Laser Motor Services",Petaling Jaya,Selangor,,,3.07958,101.65062,,
,Toyota Puchong - Unihub Auto,Puchong,Selangor,,,3.04183,101.619,,
,Toyota Kajang 3S,Kajang,Selangor,,,2.98486,101.81438,,
,Toyota Sungai Besi-MTR Automobile Corporation Sdn Bhd,Sungai Besi,Kuala Lumpur,,,3.11903,101.70885,,
,Toyota Wheelcorp Old Klang Road,Kuala Lumpur,Kuala Lumpur,,,3.10808,101.67871,,
,Toyota Kepong - Wheelcorp Sdn Bhd 3S,Kepong,Kuala Lumpur,,,3.21515,101.64679,,
,Toyota Setapak 3S (Roda Express Auto Sdn Bhd),Setapak,Kuala Lumpur,,,3.19793,101.71449,,
300,HLT Temerloh Sdn Bhd - Temerloh,Temerloh,Pahang,"Lot 20499, Batu 3, Jalan Temerloh-Mentakab, 28000 Temerloh, Pahang",28000,3.4506,102.4176,09 - 2777752 / 09 - 277 7784,nsofiaab@toyota.com.my
301,Unihub Auto Sdn Bhd - Puchong,Puchong,Selangor,"No. 39, Jalan Meranti Jaya 11, Taman Industri Meranti Jaya, 47120 Puchong, Selangor",47120,3.0447,101.6162,03 - 8062 6633,luyeyauwn@toyota.com.my
302,S&D Tama Malaysia Sdn Bhd - Prai,Prai,Pulau Pinang,"2415, Jalan Perusahaan, Kawasan Perusahaan Bebas Perai, 13600 Prai Butterworth, Penang",13600,5.3991,100.3638,04 - 390 7744,elysiatay@toyota.com.my
305,Panglima City Motor Sdn Bhd - Telok Panglima Garang,Telok Panglima Garang,Selangor,"Lot 7159, Jalan Klang, Batu 8 42500 Telok Panglima Garang, Kuala Langat, Selangor",42500,2.9423,101.4707,03 - 3122 8028,shritharant@toyota.com.my
306,Target Orion Corporation Sdn Bhd - Kuala Selangor,Kuala Selangor,Selangor,"Lot 675, Seksyen 1, Pekan Assam Jawa, 45000 Kuala Selangor, Selangor.",45000,3.3419,101.249,03 - 3289 6636,daniellr@toyota.com.my
307,PCM Klang Motor Sdn Bhd - Sg Rasah,Sg Rasah,Selangor,"Lot 725, Jalan Sungai Rasah, Section 16, 40200 Shah Alam, Selangor",40200,3.0897,101.5453,03 - 5522 2999,nareshs@toyota.com.my
308,S&D Tama Malaysia Sdn Bhd - Penang,Penang,Pulau Pinang,"Penang (Principal Correspondence): No. 8, Jalan Jelutong, 11600 Georgetown, Penang",11600,5.4261,100.3288,04 - 289 9199,khairil.hazmi@toyota.com.my
310,HLT Temerloh Sdn Bhd - Kemaman,Kemaman,Terengganu,"Lot PT 28012, Kawasan Miel Jakar 3 Mukim Chukai 24000 Kemaman, Terengganu",24000,4.2305,103.426,09 - 859 9706,normankk@toyota.com.my
311,"Crestmax Auto (Services) Sdn Bhd - Sg Penchala, KL","Sg Penchala, KL",Kuala Lumpur,"PT 8541, Jalan Sg. Penchala, Mukim Batu, 60000 Kuala Lumpur",60000,3.151,101.6869,03 - 7731 7292,rameshs@toyota.com.my
312,Fadason Sdn Bhd - Bukit Mertajam,Bukit Mertajam,Pulau Pinang,"No. 86 & 88, Jalan Perda Timur, Bandar Perda, 14000 Bukit Mertajam, Penang",14000,5.363,100.4667,04 - 530 7006 / 04 - 538 7006,fatinsz@toyota.com.my
313,Sirdi-333 Otomobil Sdn Bhd - Teluk Intan,Teluk Intan,Perak,"No. 1690, Jalan Sultan Abdullah, 36000 Teluk Intan, Perak",36000,4.0259,101.0213,05 - 622 9333,eugenehankw@toyota.com.my
314,PCM Puchong Motor Sdn Bhd - Puchong,Puchong,Selangor,"No. 6, Jalan Perindustrian Puchong, Taman Perindustrian Puchong, Seksyen 3, 47160 Puchong, Selangor",47160,3.0167,101.6162,03 - 5623 6611 / 03 - 5623 6622,joshuatm@toyota.com.my
315,Autoria Sdn Bhd - Ipoh,Ipoh,Perak,"No. 120, Jalan Sultan Nazrin Shah, 31350 Ipoh, Perak",31350,4.6095,101.0901,05 - 246 0238 / 05 - 253 6868,calvinlaft@toyota.com.my
316,SP Selatan Otomobil Sdn Bhd - Sungai Petani,Sungai Petani,Kedah,"Lot 1365, Padang Temusu, Sungai Pasir, 08000 Sungai Petani, Kedah",08000,5.647,100.4877,04 - 431 1999 / 04 - 431 2799,shahrulrb@toyota.com.my
317,Prima Pearl Auto Sdn Bhd - Jalan Ara,Jalan Ara,Pulau Pinang,"Lot 1099, Mukim 12, Daerah Barat Daya, Jalan Dato' Ismail Hashim, Sungai Ara, 11900 Bayan Lepas, Penang",11900,5.3062,100.2594,04 - 642 5689,muthumoney@toyota.com.my
318,Kulim Topwheels Sdn Bhd - Kangar,Kangar,Perlis,"No. 565, Jalan Kangar-Alor Setar, 01000 Kangar, Perlis.",01000,6.438535157681725,100.19040483408587,04 - 976 3828,sunenpt@toyota.com.my
319,Telagamas Motors Sdn Bhd - Tg Malim,Tg Malim,Perak,"Tg. Malim Lot 4594, Jalan Slim Baru, 35900 Tanjung Malim, Perak",35900,3.6841,101.5181,05 - 459 6888,alfredosl@toyota.com.my
320,Distinctive Model Sdn Bhd - Sg Buloh,Sg Buloh,Selangor,"Lot 988, Jalan Subang, Kg. Baru Sg. Buloh, 47000 Sg. Buloh, Selangor",47000,3.209,101.558,03 - 6157 3339,kwanwc@toyota.com.my
321,Hiewa Auto Gallery (Kulai) Sdn Bhd - Kulai,Kulai,Johor,"No. 1157, Jalan Kasturi 36/41, Bandar Indahpura 81000 Kulaijaya, Johor",81000,1.6561,103.6032,07 - 662 5501 / 07 - 662 5470,leel@toyota.com.my
