name,City,State,lat,lon
Balai Trafik Ibu Pejabat Polis Daerah Batu Pahat,Batu Pahat,Johor,1.847712,102.9357401
Bahagian Siasatan dan Penguatkuasaan Trafik IPD Johor Bahru Selatan,Johor Bahru,Johor,1.4718886,103.7627578
Polis Trafik Muar,Muar,Johor,2.0457675,102.5630498
Bahagian Siasatan dan Penguatkuasaan Trafik IPD Kota Setar,Alor Setar,Kedah,6.1163206,100.3648385
Balai Polis Trafik Kota Setar,Alor Setar,Kedah,6.1165261,100.3650756
Balai Polis Trafik Kubang Pasu,Jitra,Kedah,6.2744148,100.4209038
Kulim Traffic Police Station,Kulim,Kedah,5.3698479,100.556948
Bahagian Siasatan dan Penguatkuasaan Trafik Ibu Pejabat Polis Daerah Pendang,Pendang,Kedah,5.991547,100.4786803
Cawangan Trafik IPD Kuala Muda,Sungai Petani,Kedah,5.6465272,100.4894698
Bahagian Siasatan dan Penguatkuasaan Trafik IPD Pasir Mas,Pasir Mas,Kelantan,6.0464557,102.1418902
Balai Polis Trafik Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,3.1415673,101.6962209
Balai Polis Trafik Alor Gajah,Alor Gajah,Melaka,2.3817299,102.2089082
Bahagian Siasatan dan Penguatkuasaan Trafik IPD Melaka Tengah,Melaka,Melaka,2.1926704,102.2478388
Pejabat Cawangan Trafik IPD Kuantan,Kuantan,Pahang,3.8031561,103.321506
Polis Trafik Maran,Maran,Pahang,3.5810932,102.7739661
Cawangan Trafik IPD Cameron Highlands,Tanah Rata,Pahang,4.4716727,101.3791566
Balai Polis Trafik Bukit Mertajam,Bukit Mertajam,Penang,5.3651242,100.4613858
North Seberang Perai District Traffic Police Headquarters,Kepala Batas,Penang,5.5219722,100.4276962
Bahagian Siasatan dan Penguatkuasaan Trafik Ibu Pejabat Polis Daerah Kangar,Kangar,Perlis,6.4378154,100.1935627
Balai Polis Trafik Kota Kinabalu,Kota Kinabalu,Sabah,5.9826468,116.0777041
Balai Polis Trafik Miri,Miri,Sarawak,4.3734608,113.980436
Ampang Jaya District Police Headquarters,Ampang,Selangor,3.14851,101.75666
Balai Polis Trafik - Gombak Traffic Police Station,Batu Caves,Selangor,3.25294,101.6417
Kajang Traffic Police Station,Kajang,Selangor,2.99441,101.7881
North Klang District Police Headquarters (Sungai Kapar Indah),Klang,Selangor,3.09706,101.3766
South Klang Traffic Police Station,Klang,Selangor,3.03507,101.44134
Kota Damansara Traffic Police Station,Kota Damansara,Selangor,3.1598011,101.5751841
Hulu Selangor Traffic Police Station,Kuala Kubu Bharu,Selangor,3.56227,101.65959
Kuala Selangor District Police Headquarters,Kuala Selangor,Selangor,3.32105,101.26561
Petaling Jaya Traffic Police Station,Petaling Jaya,Selangor,3.09861,101.64171
Sabak Bernam Police Station (PDRM Sabak Bernam),Sabak Bernam,Selangor,3.76351,100.9843
Bandar Baru Salak Tinggi Police Station,Sepang,Selangor,2.80552,101.74019
KLIA Traffic Police Station,Sepang,Selangor,2.76085,101.69632
Cawangan Trafik IPD Serdang,Seri Kembangan,Selangor,3.024312,101.70925
Serdang District Police Headquarters,Seri Kembangan,Selangor,3.03865,101.65178
Balai Polis Trafik Shah Alam,Shah Alam,Selangor,3.0862124,101.5206421
Subang Jaya District Police Station Headquarters,Subang Jaya,Selangor,3.04539,101.5891
Ibu Pejabat Polis Daerah Sungai Buloh,Sungai Buloh,Selangor,3.19412,101.56746
Kuala Langat District Police Headquarters,Telok Panglima Garang,Selangor,2.80532,101.49418
Cawangan Trafik IPD Besut,Besut,Terengganu,5.7376706,102.4925747
