Outlet Code,Outlet Name,City,State,Lat,Lon
720,B&P PCM Subang Jaya,Subang Jaya,Selangor,3.08099417,101.5814757
721,B&P Laser Jalan 217,Petaling Jaya,Selangor,3.095242599,101.6354882
728,B&P Fokus Sentral Cheras,Cheras,Selangor,3.103841298,101.7347169
701,B&P Distinctive Sg Buloh,Sungai Buloh,Selangor,3.185321883,101.5767745
724,B&P Target Orion K.Slgr,Kuala Selangor,Selangor,3.307072694,101.2838322
702,B&P Panglima K.Langat,Telok Panglima Garang,Selangor,2.945863415,101.4671215
703,B&P PCM USJ,Subang Jaya,Selangor,3.022794721,101.5883706
719,B&P PCM Sg Rasah,Klang,Selangor,3.062529361,101.4906918
716,B&P Wing Hin Balakong,Seri Kembangan,Selangor,3.027599173,101.7487425
723,B&P PCM Puchong,Puchong,Selangor,3.04361386,101.5979929
705,B&P Unihub Puchong,Puchong,Selangor,3.042012402,101.6228505
704,B&P Laser Section 19,Petaling Jaya,Selangor,3.112474286,101.6332747
707,B&P PCM Kapar,Klang,Selangor,3.095275434,101.3861628
718,B&P Toyotsu Rawang,Rawang,Selangor,3.301961223,101.5470554
717,B&P Toyotsu SA,Shah Alam,Selangor,3.06457602,101.5286091
