name,City,State,lat,lon
Ampang Jaya District Police Headquarters,Ampang,Selangor,3.14851,101.75666
Balai Polis Trafik - Gombak Traffic Police Station,Batu Caves,Selangor,3.25294,101.6417
Hulu Selangor Traffic Police Station,Kuala Kubu Bharu,Selangor,3.56227,101.65959
Kajang Traffic Police Station,Kajang,Selangor,2.99441,101.7881
South Klang Traffic Police Station,Klang,Selangor,3.03507,101.44134
North Klang District Police Headquarters (Sungai Kapar Indah),Klang,Selangor,3.09706,101.3766
KLIA Traffic Police Station,Sepang,Selangor,2.76085,101.69632
Kuala Langat District Police Headquarters,Telok Panglima Garang,Selangor,2.80532,101.49418
Kuala Selangor District Police Headquarters,Kuala Selangor,Selangor,3.32105,101.26561
Petaling Jaya Traffic Police Station,Petaling Jaya,Selangor,3.09861,101.64171
Sabak Bernam Police Station (PDRM Sabak Bernam),Sabak Bernam,Selangor,3.76351,100.9843
Bandar Baru Salak Tinggi Police Station,Sepang,Selangor,2.80552,101.74019
Serdang District Police Headquarters,Seri Kembangan,Selangor,3.03865,101.65178
Ibu Pejabat Polis Daerah Sungai Buloh,Sungai Buloh,Selangor,3.19412,101.56746
Balai Polis Trafik Shah Alam,Shah Alam,Selangor,3.08606,101.52062
Subang Jaya District Police Station Headquarters,Subang Jaya,Selangor,3.04539,101.5891
